ROC-AUC,PR-AUC,EF1%,EF5%,P@50,P@100,seed,Model
0.8199458891908153,0.7718252415859601,2.56575682382134,2.4651389091616798,0.96,0.95,42,ECFP+RF
0.8183099810061623,0.7684189755363968,2.56575682382134,2.4651389091616798,0.96,0.94,123,ECFP+RF
0.8180189781079306,0.7697097453928575,2.56575682382134,2.4651389091616798,0.96,0.95,456,ECFP+RF
0.8161333579768222,0.7728541493347657,2.3091811414392063,2.4651389091616798,0.96,0.93,42,ECFP+XGB
0.8109031707518491,0.757319755152564,2.3091811414392063,2.4651389091616798,0.96,0.87,123,ECFP+XGB
0.8157381445812508,0.768206396210531,2.3091811414392063,2.4651389091616798,0.96,0.9,456,ECFP+XGB
0.8133786616226164,0.740937907061204,2.56575682382134,2.3142120371721893,0.9,0.87,42,GCN-256
0.794455608294369,0.7190698315138895,2.56575682382134,2.364520994502019,0.92,0.9,123,GCN-256
0.7899332659569867,0.6941106394066089,1.5394540942928039,2.1632851651826983,0.84,0.82,456,GCN-256
0.7827014506887723,0.6899953340733366,1.28287841191067,2.112976207852868,0.84,0.82,42,AttentiveFP
0.7810163866091476,0.6861973871603871,1.796029776674938,2.1632851651826983,0.84,0.83,123,AttentiveFP
0.7749190893968767,0.704291505784423,2.3091811414392063,2.4148299518318495,0.94,0.86,456,AttentiveFP
