Model,Split,ROC-AUC,PR-AUC,EF1%,EF5%,P@50,P@100
ECFP+XGB,random,0.9178147303968351,0.9117231983162518,1.9620493358633777,1.9235777802582132,0.98,0.98
ECFP+RF,random,0.9137127651213185,0.9099424659969034,1.7658444022770399,1.9235777802582132,0.98,0.96
ECFP+MLP,random,0.913095224728563,0.9129322882216268,1.9620493358633777,1.9235777802582132,0.98,0.99
ECFP+XGB,scaffold,0.8049297463949068,0.7485922562781047,2.3091811414392063,2.4148299518318495,0.96,0.92
ECFP+RF,scaffold,0.8199773489635971,0.7725617696960208,2.56575682382134,2.4651389091616798,0.96,0.95
ECFP+MLP,scaffold,0.7825205569952771,0.6962440754291949,2.3091811414392063,2.1632851651826983,0.84,0.82
