Model,Split,ROC-AUC,PR-AUC,EF1%,EF5%,P@50,P@100
GCN,random,0.9058381894464219,0.8993783317790802,1.7658444022770399,1.8466346690478848,0.94,0.96
GIN,random,0.9009016089734234,0.8814694715670963,1.5696394686907023,1.7696915578375563,0.9,0.93
D-MPNN,random,0.9115420170740561,0.9026825204282937,1.7658444022770399,1.8851062246530492,0.96,0.97
GCN,scaffold,0.7877979338794225,0.7290529616275279,2.3091811414392063,2.4148299518318495,0.94,0.88
GIN,scaffold,0.77809259397624,0.7218614735496225,2.3091811414392063,2.4651389091616798,0.96,0.9
D-MPNN,scaffold,0.7871254812362118,0.7084896559833815,1.796029776674938,2.364520994502019,0.92,0.88
